Item,Type,Weight (Grams),Qty.,Unit,Source,URL (Europe),Price (unit),Price (total),Part/Assembly Number,Notes
PID REX-C100 + SSR + thermoc. t. K,Heating,480,2,Pcs,Amazon,https://www.amazon.fr/REX-C100-AC110V-240V-Thermostat-R%C3%A9gulateur-Temp%C3%A9rature/dp/B07478KCJB/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=inkbird+rex+C100&qid=1604585142&quartzVehicle=107-1333&replacementKeywords=inkbird+c100&sr=8-7,25.51 €,51.02,/,
Attachment thermocouple,Heating,,2,Pcs,Amazon,https://www.amazon.fr/Index-184-ABM6040-abm6040-Collier/dp/B00J5O0UQG/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=collier%2Bserrage%2BM6&qid=1612448382&sr=8-5&th=1,6.74 €,13.48,/,
Heat sink,Heating,,2,Pcs,Aliexpress,"https://fr.aliexpress.com/item/32916752495.html?spm=a2g0o.productlist.0.0.39e1657cCx7KDR&algo_pvid=c4955477-e2c2-43ae-a1a1-e9c702424837&algo_expid=c4955477-e2c2-43ae-a1a1-e9c702424837-0&btsid=2100bdf116045902524002155e5753&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1.94 €,3.88,/,
Copper heating band 35x60,Heating,,4,Pcs,Aliexpress,https://fr.aliexpress.com/item/32980036469.html?spm=a2g0w.12010612.8148356.9.e4f13202bOyiZM,16.76 €,67.04,/,220V - 250W
Kettle plug with switch and fuze,Connection,,1,Pcs,Aliexpress,"https://fr.aliexpress.com/item/32958550277.html?spm=a2g0o.productlist.0.0.23bb6f92EpUpry&algo_pvid=79bd6882-c7af-4b79-acbb-cce4c362f081&algo_expid=79bd6882-c7af-4b79-acbb-cce4c362f081-3&btsid=2100bdf116045899102464931e5753&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",0.83 €,0.83,/,
Thermocouple K micro connection,Connection,,2,Pcs,Amazon,https://www.amazon.fr/DyNamic-Connecteur-miniature-thermocouple-montage/dp/B07GZPYPFV/ref=sr_1_10?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=prise+miniature+type+K&qid=1604585930&sr=8-10,5.58 €,11.16,/,
Powercon,Connection,,4,Pcs,Aliexpress,"https://fr.aliexpress.com/item/4000032816398.html?spm=a2g0o.detail.1000060.1.f8b6136deahWk7&gps-id=pcDetailBottomMoreThisSeller&scm=1007.13339.169870.0&scm_id=1007.13339.169870.0&scm-url=1007.13339.169870.0&pvid=b0f46d33-81b8-4e0e-b007-b15f74003ef4&_t=gps-id:pcDetailBottomMoreThisSeller,scm-url:1007.13339.169870.0,pvid:b0f46d33-81b8-4e0e-b007-b15f74003ef4,tpp_buckets:668%230%23131923%2397_668%23808%233772%23873_668%23888%233325%2315_668%234328%2319924%23148_668%232846%238116%23979_668%232717%237564%23667_668%231000022185%231000066059%230_668%233468%2315616%23735",1.41 €,5.64,/,3 yellows / 1 blue
"IP44 mural / 3G1,5 / kettle",Cable,,1.8,m,Aliexpress,"https://fr.aliexpress.com/item/32983801295.html?spm=a2g0o.detail.0.0.6feb57eeupaccK&gps-id=pcDetailBottomMoreThisSeller&scm=1007.13339.169870.0&scm_id=1007.13339.169870.0&scm-url=1007.13339.169870.0&pvid=419b9d54-96e6-42c1-bfc4-9fe10028477a&_t=gps-id:pcDetailBottomMoreThisSeller,scm-url:1007.13339.169870.0,pvid:419b9d54-96e6-42c1-bfc4-9fe10028477a,tpp_buckets:668%230%23131923%238_668%23808%233772%23873_668%23888%233325%2315_668%234328%2319938%23840_668%232846%238116%23979_668%232717%237564%23667_668%231000022185%231000066059%230_668%233468%2315608%23144",4.88 €,,/,Either EURO or UK
"U end cable connection (1,5mm2 - 4,3)",Cable,,1,lot,Aliexpress,"https://fr.aliexpress.com/item/4000389954867.html?spm=a2g0o.productlist.0.0.5852187d3Q9v8c&algo_pvid=9bb230e6-4db2-44ed-a8c4-a957ef0008d8&algo_expid=9bb230e6-4db2-44ed-a8c4-a957ef0008d8-4&btsid=0b0a01f816045872352423364e42c3&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1.79 €,1.79,/,enough 3 machine
FDFD2-110,Cable,,1,lot,Aliexpress,"https://fr.aliexpress.com/item/32845610114.html?spm=a2g0o.productlist.0.0.2a294b25QNzAZI&algo_pvid=64c7d8a5-313b-4482-977d-cc56dd367cf1&algo_expid=64c7d8a5-313b-4482-977d-cc56dd367cf1-3&btsid=2100bb4c16046181100668281e2c7a&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_",1.87,1.87,/,enough 5 machine
